CPF_EDUCADOR_FISICO,ID_ATIVIDADE
87423059344,7
21895925344,1
76962560099,1
76962560099,15
76962560099,7
76962560099,5
54301461022,4
54301461022,7
54301461022,16
54301461022,2
16280178999,9
16280178999,13
16280178999,11
90759885599,15
90759885599,6
73826227977,13
73826227977,8
73826227977,7
73826227977,5
74171366644,16
24271868566,16
24271868566,4
46736948999,12
46736948999,4
46736948999,11
80302795744,7
40724444211,14
36528988855,8
36528988855,9
36528988855,2
36528988855,4
84755199622,9
44223654600,9
44223654600,14
42647152533,2
42647152533,3
42647152533,11
42647152533,1
42647152533,9
86123956666,16
86123956666,2
86123956666,14
86123956666,8
86123956666,15
26271376977,7
26271376977,6
26271376977,1
26271376977,9
26271376977,2
61817175288,2
80020047366,2
80020047366,12
80020047366,15
80020047366,3
80020047366,6
73552866844,15
73552866844,5
73552866844,7
87198994599,16
87198994599,14
87198994599,5
87198994599,3
40017263511,1
40017263511,5
40017263511,15
40017263511,9
40017263511,14
74729060000,12
29627808811,15
29627808811,11
17022169344,4
47519734444,9
47519734444,4
53642173100,12
53642173100,16
88711031300,7
68932229044,9
68932229044,12
68932229044,8
68932229044,14
68932229044,16
64511255399,12
56804774088,7
69793487799,2
88076679400,9
88076679400,10
88076679400,1
60094397011,2
62088427866,15
62088427866,12
62088427866,6
74825059200,13
74825059200,16
74825059200,11
74825059200,7
42573088266,3
42573088266,11
42573088266,14
42573088266,15
30852356711,12
30852356711,8
30852356711,5
30852356711,15
30852356711,14
11620368699,5
11620368699,11
11620368699,1
11620368699,15
11620368699,13
52334532311,15
52334532311,7
52334532311,1
52334532311,2
52334532311,14
57460052744,2
57460052744,10
57460052744,4
41510110211,11
57385051900,5
57385051900,13
57385051900,3
57385051900,4
97018502200,13
97018502200,3
97018502200,12
50459843655,6
50459843655,8
50459843655,14
17037374233,11
17037374233,4
17037374233,8
99616592877,7
99616592877,10
99616592877,6
38080621000,14
38080621000,13
38080621000,3
38080621000,9
43814327111,13
43814327111,6
95612557077,8
95612557077,7
95612557077,5
64795779144,15
64795779144,13
64795779144,10
46843231533,8
46843231533,6
46843231533,7
47196960311,6
47196960311,12
47196960311,13
47196960311,7
47196960311,2
22323721388,8
22323721388,14
71955146500,3
71955146500,8
71955146500,7
71955146500,16
71955146500,9
73928227300,15
73928227300,7
73928227300,1
73928227300,8
73928227300,2
85306394999,4
85306394999,2
85306394999,11
85306394999,15
85306394999,9
17860125533,3
17860125533,9
17860125533,5
17860125533,12
63069802888,5
88348865933,5
88348865933,6
88348865933,7
88348865933,1
88348865933,9
14566372155,5
14566372155,3
14566372155,16
14566372155,8
94752598800,8
94752598800,7
94752598800,6
94752598800,16
28009505799,12
28009505799,6
28009505799,7
27983153522,6
27983153522,1
61477054822,12
61477054822,7
61477054822,16
53622316500,13
53622316500,4
53622316500,5
53622316500,12
51074077655,15
51074077655,1
51074077655,3
45765491388,14
45765491388,4
36073803333,3
71082809499,14
71082809499,4
71082809499,5
86052944933,9
86052944933,5
19487632499,7
19487632499,3
19487632499,14
55088170344,14
55088170344,15
92325616622,1
92325616622,2
92325616622,11
44128201222,14
44128201222,8
44128201222,1
44128201222,9
62853375944,14
62853375944,2
29980504411,2
11301753833,9
11301753833,12
33203836399,3
33203836399,16
33203836399,9
33203836399,6
66473009100,13
66473009100,5
66473009100,12
66473009100,14
62119567388,6
62119567388,12
29941485288,1
46462311400,16
46462311400,8
46462311400,10
46462311400,2
64351192444,5
64351192444,14
43191452088,15
43191452088,11
20684288222,13
20684288222,8
20684288222,9
20684288222,12
20684288222,11
76024713699,3
76024713699,2
76024713699,15
76024713699,1
92531945533,12
92531945533,7
92531945533,14
94155735466,4
94155735466,16
94155735466,6
94155735466,2
19553962644,5
19553962644,12
17627170188,9
48974248366,6
48974248366,4
48974248366,3
48974248366,14
48974248366,11
33608849144,13
33608849144,1
33608849144,15
34124922644,3
34124922644,15
70699180544,2
70699180544,14
24467524111,15
24467524111,4
46690697055,3
46690697055,1
46690697055,10
46690697055,8
77988962877,8
77988962877,14
77988962877,5
28585554511,13
28585554511,9
28585554511,5
28585554511,4
38241656600,11
38241656600,14
38241656600,8
89516596400,11
79283495588,5
79283495588,6
79283495588,1
79283495588,2
79283495588,7
90080503666,1
11329707255,1
11531946944,13
11531946944,10
46055112700,10
46055112700,8
46055112700,7
46055112700,15
64971049333,10
64971049333,12
64971049333,11
64971049333,3
64971049333,8
63774575022,11
50193847555,10
64953997077,6
64953997077,1
64953997077,7
63733213555,16
63733213555,11
51790408688,14
51790408688,1
51790408688,6
51790408688,8
51790408688,9
72398917122,10
72398917122,16
72398917122,3
72398917122,2
68320539755,14
68320539755,6
68320539755,8
68320539755,13
38907334255,11
38907334255,2
38907334255,5
38907334255,16
38907334255,3
31322660866,7
31322660866,9
31322660866,3
16610245722,5
16610245722,10
16610245722,7
16610245722,15
32941585800,5
32941585800,16
32941585800,7
32941585800,3
32941585800,11
94286117355,3
94286117355,12
94286117355,11
94286117355,4
94286117355,13
34955157200,15
85874831966,14
69265796100,7
69265796100,12
69265796100,3
69265796100,9
51567515044,8
47486206255,13
47486206255,10
47486206255,11
47486206255,5
47486206255,3
50415676388,10
50415676388,4
50415676388,3
50415676388,7
13865944900,16
13865944900,2
13865944900,9
13865944900,12
31310561777,16
80365071299,16
21448781888,13
21448781888,10
21448781888,12
21448781888,8
93618606822,7
93618606822,16
19622680711,3
19622680711,11
19622680711,12
37739047899,4
37739047899,12
99871013800,8
99871013800,1
99871013800,16
99871013800,2
99871013800,15
70809245700,7
18647086622,4
18647086622,6
18647086622,3
18647086622,16
80967538277,11
80967538277,8
80967538277,14
51427721644,7
51427721644,13
51427721644,11
51427721644,6
51427721644,1
99905386977,14
99905386977,7
99905386977,2
99905386977,11
99905386977,1
37705839499,6
37705839499,8
37705839499,15
25730852100,8
25730852100,2
25730852100,12
25730852100,15
39364498722,10
39364498722,14
39364498722,16
39364498722,9
39364498722,6
90649628988,3
90649628988,7
90649628988,11
90649628988,12
90649628988,5
54581125399,11
54581125399,7
54581125399,13
54581125399,15
98488173522,12
98488173522,14
98488173522,10
98488173522,2
98488173522,7
41097366922,13
41097366922,9
41097366922,3
41097366922,5
32158679588,1
32158679588,12
32158679588,5
86368035788,1
86368035788,11
86368035788,2
25875677344,10
25875677344,8
25875677344,3
39700343533,8
39700343533,10
39700343533,2
39700343533,16
39700343533,7
14295365199,3
14295365199,13
14295365199,2
14295365199,15
14295365199,11
78280732400,16
78280732400,10
78280732400,9
29017906400,6
29017906400,5
29017906400,8
72490338755,3
55891540300,3
38915371233,9
59613617300,7
59613617300,11
59613617300,12
23886339744,14
23886339744,4
23886339744,3
23886339744,10
25701508277,10
25701508277,6
25701508277,14
25701508277,11
25701508277,13
71709823311,12
71709823311,7
32228031533,10
32228031533,4
32228031533,2
32228031533,8
32228031533,11
72544655400,1
70050036322,4
70050036322,9
70050036322,2
70050036322,1
70050036322,5
90425381200,6
90425381200,16
90425381200,1
31833109611,10
31833109611,16
31833109611,1
28717640266,15
28717640266,13
90264013299,4
90264013299,10
90264013299,12
40956656022,14
40956656022,2
14331992200,10
87780782299,15
87780782299,12
87780782299,2
92841339200,1
22298707855,11
22298707855,13
22298707855,3
22298707855,12
83555595844,11
83555595844,2
59669502966,6
16619813055,10
80980153866,12
80980153866,5
80980153866,16
55822392511,5
48464596755,10
48464596755,7
48464596755,6
28822726500,1
28822726500,16
28822726500,9
28822726500,7
35217891799,16
