ID_EQUIPAMENTO,CPF_DOADOR,DATA_DOACAO
EQ577365,12128542099,2017-09-18
EQ865689,84682774600,2017-04-17
EQ887464,58307050799,2015-02-21
EQ619769,57808237233,2019-08-15
EQ931100,37696149177,2020-01-29
EQ919343,29976359000,2018-03-02
EQ613220,10415865155,2019-11-09
EQ881670,73830988899,2017-10-10
EQ528335,89240886299,2015-03-27
EQ300440,15961670411,2017-01-25
EQ715446,37827683888,2022-03-13
EQ959863,42500908177,2020-06-27
EQ770611,63409809966,2015-02-21
EQ761971,44224142599,2023-09-12
EQ197245,26786018388,2017-11-27
EQ626297,11165703433,2020-10-13
EQ896142,34304366300,2019-05-10
EQ987451,20899579133,2015-11-07
EQ751041,70253102399,2016-08-28
EQ680001,83306847177,2019-08-01
EQ545448,33409426844,2022-10-28
EQ565385,66319707766,2022-11-16
EQ729054,71200638988,2022-02-15
EQ728241,49422240200,2017-06-17
EQ390789,68201389544,2016-10-07
EQ579792,14515599177,2022-07-14
EQ833026,19816204000,2023-06-16
EQ804165,40517682522,2016-11-02
EQ233699,54782568977,2016-05-06
EQ650042,21971218711,2018-11-09
EQ536558,37597189733,2019-12-26
EQ602539,15569985111,2021-12-22
EQ934532,31243005055,2018-12-15
EQ833187,23151029799,2023-06-14
EQ328052,10141648500,2017-03-31
EQ708157,24004214399,2016-01-09
EQ954538,10709134488,2022-11-13
EQ598541,79200303744,2022-12-20
EQ749174,48715947500,2015-10-14
EQ624636,60679870233,2019-09-30
EQ293536,36360415766,2021-02-11
EQ775834,60787741233,2019-07-27
EQ881481,78993850088,2023-02-23
EQ786813,34407383888,2023-12-10
EQ690442,27059764500,2023-11-14
EQ745063,67003337411,2023-03-27
EQ331882,59488614144,2022-08-08
EQ663149,71175311699,2021-07-08
EQ536151,44968548999,2015-06-15
EQ273029,69972919022,2015-02-21
EQ293534,82498548700,2023-11-28
EQ391758,85737495988,2020-06-25
EQ728034,54104384933,2016-10-09
EQ550531,75887163200,2017-04-19
EQ878551,59542012422,2019-12-17
EQ617821,91134832344,2015-05-10
EQ813616,72017119200,2022-10-03
EQ189612,83617373400,2022-03-03
EQ323083,58280314144,2017-01-25
EQ693193,47479219666,2020-11-10
EQ843086,47035171833,2017-10-09
EQ753095,51082700700,2023-03-29
EQ688998,67485236644,2018-05-22
EQ263601,30850651722,2020-07-05
EQ187870,31116725733,2019-07-19
EQ150990,48666009266,2018-08-15
EQ170923,51907514733,2020-07-15
EQ984862,58139192799,2015-03-21
EQ808664,25779944199,2015-04-19
EQ160836,63901076411,2018-10-12
EQ350836,69934867688,2019-09-04
EQ803193,33046486077,2016-11-19
EQ130014,44170901900,2018-11-01
EQ405967,86547149999,2020-10-24
EQ257532,63077839077,2022-07-24
EQ664789,78579220644,2017-09-23
EQ397415,59940641499,2020-05-02
EQ812588,64693769911,2021-10-12
EQ752048,21946758411,2019-09-12
EQ315704,17934968700,2019-08-17
EQ952097,28252074466,2015-03-09
EQ907614,17786880200,2018-03-30
EQ511252,91029356000,2016-03-14
EQ307141,42509606333,2020-01-07
EQ590087,72864606411,2021-05-23
EQ701213,93987312822,2020-11-16
EQ804296,46555606733,2017-12-13
EQ439585,83816833199,2023-10-22
EQ156823,28147896355,2018-08-19
EQ988063,41124526599,2020-06-09
EQ569564,24539330277,2019-06-10
EQ246868,48230874611,2018-05-08
EQ760201,45193838466,2021-03-04
EQ876078,45553787255,2021-06-01
EQ798651,45544017666,2022-12-16
EQ515288,66246129244,2019-10-19
EQ350624,69017694666,2022-05-14
EQ318317,74909697944,2021-10-25
EQ727657,89688531699,2019-05-13
EQ769341,24431384533,2023-02-24
EQ421330,70115799311,2022-01-22
EQ722261,32509440688,2018-03-12
EQ476326,29571835877,2022-11-14
EQ795620,91706236866,2020-10-09
EQ932610,95798435977,2021-03-12
EQ685584,13066832700,2020-11-28
EQ902680,39011821877,2021-02-24
EQ489936,75420248844,2021-04-18
EQ487407,95018831400,2019-09-20
EQ314459,96882091555,2020-05-07
EQ661666,41209836500,2020-10-21
EQ573987,80389804688,2021-08-03
EQ201431,60808942111,2021-12-19
EQ408697,22468072044,2022-09-03
EQ712130,34170114933,2023-09-08
EQ797071,25295653688,2022-05-08
EQ327332,79344776199,2018-06-11
EQ834347,67322496144,2022-01-10
EQ900282,82063632388,2015-05-29
EQ866178,78764255422,2019-08-07
EQ844854,99450539066,2020-10-12
EQ505725,58963095033,2018-06-19
EQ692316,39568472533,2021-04-09
EQ133153,86659768844,2018-08-18
EQ336614,63822237433,2018-09-19
EQ427495,18197655555,2023-04-05
EQ508706,39923889566,2019-01-22
EQ265825,22630251200,2018-09-15
EQ961059,85449304844,2017-06-30
EQ993432,86445292344,2019-02-19
EQ472900,27191090700,2020-05-25
EQ280325,79294612388,2020-08-13
EQ895837,64026490744,2019-09-20
EQ825882,93192901488,2021-05-23
EQ343420,50057255711,2020-12-03
EQ355381,77700187577,2017-03-29
EQ916578,44890187111,2016-12-04
EQ227357,20420120333,2023-01-20
EQ151736,16448244422,2022-06-16
EQ716823,82571413800,2019-01-01
EQ207598,35438628988,2017-01-21
EQ643316,17487696699,2015-06-12
EQ352005,91029435300,2018-10-22
EQ771989,52685746988,2020-11-04
EQ704229,87808519400,2017-11-16
EQ846541,85314237911,2021-07-05
EQ932244,88743875800,2018-08-26
EQ384233,34741391422,2023-10-18
EQ551787,57828890399,2019-09-09
EQ883434,53253414999,2020-12-24
