CPF_PARTICIPANTE,ID_ATIVIDADE,CPF_CONVIDANTE_INTERNO,DATA_INSCRICAO
42264054633,10,16083543855,2023-01-10
42264054633,5,81045964466,2023-03-07
27858635266,9,79893906988,2023-09-26
55067308022,14,,2023-04-16
55067308022,10,,2023-07-13
72017119200,9,83252002277,2023-10-15
72017119200,5,70316330100,2023-11-12
72017119200,13,16216297400,2023-10-05
60679870233,12,,2023-08-09
62641928300,5,80241023311,2023-04-06
62641928300,7,54002762700,2023-09-24
17396523711,11,,2023-11-25
17396523711,6,,2023-05-19
17396523711,4,87836590722,2023-08-05
50834623700,11,55404172911,2023-07-17
67003337411,10,,2023-11-14
25693405888,8,35315351455,2023-10-12
98085552177,4,,2023-12-31
98085552177,9,,2023-12-10
98085552177,13,,2023-12-08
55855505866,3,,2023-02-07
71889114100,1,,2023-12-17
80976830088,1,63633870277,2023-09-10
90478013000,8,,2023-01-22
90478013000,3,89183390200,2023-11-30
91029356000,4,65126849233,2023-06-25
19958630411,1,12927697933,2023-04-23
19958630411,2,40615542044,2023-07-07
19958630411,3,,2023-06-10
95828494877,8,,2023-08-25
95828494877,1,,2023-10-27
95828494877,16,47343659388,2023-05-06
65789302722,12,,2023-01-06
74281354866,7,,2023-06-22
74281354866,1,24872590944,2023-05-01
74281354866,5,66223621655,2023-11-22
29976359000,1,,2023-04-13
29976359000,11,68765972533,2023-10-19
29976359000,9,,2023-05-04
71280438299,3,15488228177,2023-09-30
61771615377,12,89732367177,2023-08-12
61771615377,16,65853141744,2023-12-26
53703804655,8,96190550044,2023-08-16
53703804655,9,,2023-12-06
30880958544,2,78233650655,2023-12-30
91350393377,8,,2023-09-20
91350393377,16,21259961544,2023-05-12
91350393377,12,18882550133,2023-08-13
31106704377,2,,2023-12-22
31106704377,14,45123908200,2023-12-10
92779140099,10,,2023-03-18
92779140099,16,,2023-08-20
96780914455,11,18147312455,2023-06-02
96780914455,1,,2023-01-25
96780914455,8,25845999700,2023-02-01
25295653688,7,98227423044,2023-08-07
25295653688,8,47269644455,2023-10-08
85761037533,13,88447806233,2023-11-12
61336131577,13,,2023-11-09
61336131577,14,35315351455,2023-06-14
61336131577,7,,2023-12-31
81730698755,6,,2023-03-09
81730698755,2,27663573866,2023-03-21
50640748911,12,42573088266,2023-03-24
50640748911,6,42727982511,2023-08-17
92685283122,3,,2023-04-18
70243966522,7,47893229399,2023-02-24
70243966522,5,15140338011,2023-01-23
92736572577,2,39305967922,2023-06-24
92736572577,13,98850074155,2023-12-24
92736572577,5,,2023-12-03
37696149177,9,29088637311,2023-10-21
37696149177,11,20742106399,2023-12-26
37696149177,15,,2023-11-18
90257603500,15,39819790100,2023-04-30
90257603500,7,,2023-12-02
90257603500,9,85146910744,2023-04-07
32584953788,6,12037362588,2023-12-23
32584953788,15,,2023-08-07
32733742922,10,,2023-12-12
32733742922,16,,2023-01-21
12331734644,16,70939490700,2023-04-11
12331734644,1,74195838111,2023-09-28
12331734644,9,72352491966,2023-12-31
45387515888,1,80914756911,2023-01-12
45387515888,12,73473985766,2023-06-25
45387515888,4,13639075811,2023-08-04
93366545944,10,10853225644,2023-11-03
93366545944,9,,2023-06-07
28317464344,11,90680765588,2023-01-16
28317464344,6,84507576900,2023-08-30
81326451899,13,,2023-02-09
81326451899,5,,2023-09-29
81326451899,11,,2023-09-01
99701477300,5,41343235255,2023-05-23
24004214399,4,,2023-10-23
90828224400,13,,2023-12-20
90828224400,16,70250704400,2023-12-09
90828224400,1,,2023-05-09
70889470566,14,64337276466,2023-01-07
70889470566,1,92509101344,2023-01-25
16128774600,3,,2023-01-16
16128774600,15,,2023-07-16
30445028700,3,,2023-08-06
30445028700,5,63621632222,2023-07-18
16448244422,5,,2023-12-11
10257946644,14,,2023-05-25
10257946644,4,,2023-11-01
10257946644,13,27687078999,2023-06-15
22282897955,8,,2023-06-09
22282897955,10,,2023-07-04
63514843833,12,69815612800,2023-10-09
63514843833,14,92881732855,2023-04-06
62327695622,6,79267724966,2023-01-24
62327695622,11,,2023-05-16
11289676855,15,45178005711,2023-07-24
11289676855,9,,2023-09-22
11289676855,13,,2023-07-11
67921691299,5,,2023-08-15
67921691299,16,99750034788,2023-07-26
72623329455,2,98802408988,2023-01-03
72623329455,11,,2023-09-15
72623329455,14,,2023-09-25
30850651722,14,,2023-07-26
30850651722,15,47779065588,2023-10-26
30850651722,10,,2023-02-23
95410254711,14,43788704600,2023-06-29
95410254711,16,,2023-05-17
33129160899,13,,2023-03-07
33129160899,12,53275720800,2023-03-30
33129160899,9,34239922800,2023-07-31
38553694611,12,90337353000,2023-09-02
38553694611,5,35275676233,2023-02-08
56264115855,6,,2023-11-13
56264115855,9,31922449688,2023-03-21
56264115855,2,93352223211,2023-08-09
63387909644,15,,2023-11-14
63387909644,16,86734254922,2023-05-06
63387909644,4,,2023-12-24
96452582433,14,,2023-10-06
96452582433,13,,2023-09-07
96452582433,7,57858555344,2023-09-01
73776262677,15,,2023-03-05
73776262677,16,53081335900,2023-02-23
73122197722,13,,2023-05-25
73122197722,9,24535050255,2023-05-16
73122197722,12,,2023-10-23
35060777322,9,,2023-07-04
35060777322,14,,2023-04-24
35060777322,8,,2023-12-12
67322496144,3,30992348933,2023-09-14
67322496144,4,,2023-05-15
38160587799,4,53571662266,2023-07-13
26729586455,9,85842056244,2023-10-26
26729586455,4,67650136877,2023-09-19
49205930588,7,50066133788,2023-10-12
49205930588,9,64704134711,2023-06-18
45831675555,13,,2023-08-04
45831675555,6,,2023-05-14
45831675555,7,23238176399,2023-11-27
62982018744,12,43564828755,2023-08-04
65096301177,15,,2023-02-28
65096301177,2,,2023-10-31
65096301177,10,,2023-08-05
55564374244,15,,2023-08-31
55564374244,14,,2023-04-16
43686506033,14,,2023-02-08
43686506033,12,,2023-09-30
23847154455,16,97526131288,2023-05-08
21914601000,15,,2023-05-15
21914601000,1,,2023-06-22
95184162066,6,,2023-03-27
95184162066,5,,2023-11-16
95184162066,11,,2023-07-16
40625889600,12,,2023-04-10
16242350500,16,65747845900,2023-06-27
79228173711,16,,2023-04-13
40856622288,13,,2023-05-21
40856622288,4,,2023-02-04
60324025411,16,,2023-06-07
55276206155,11,99791387344,2023-12-14
66345524522,3,,2023-05-09
97754601588,15,,2023-12-01
97754601588,6,,2023-08-12
97754601588,12,66303226066,2023-11-24
27287183422,1,33515483111,2023-10-09
27287183422,15,90531031711,2023-08-03
31116725733,9,27613156855,2023-10-09
24022125199,5,,2023-07-16
24022125199,7,,2023-06-30
49354199200,11,,2023-03-15
20420120333,6,,2023-07-14
20420120333,8,19627590088,2023-09-20
78663618277,9,,2023-08-06
58135894222,13,74919077099,2023-12-02
58135894222,4,62667048200,2023-10-12
26640274411,3,39137113688,2023-03-17
