CPF,NOME,EMAIL,CELULAR,DATA_NASCIMENTO
42264054633,Yasmin Castro,wmoraes@example.com,(11) 99320-9004,1994-01-10
27858635266,Gael Moura,pachecoaurora@example.org,(11) 98500-8185,1960-06-26
55067308022,Breno da Mota,joana14@example.net,(11) 97755-1079,1972-02-26
72017119200,Rael Barros,rafaelamoraes@example.com,(11) 95410-3577,1974-12-14
60679870233,Caleb da Mota,cecilia56@example.com,(11) 92522-2321,1965-03-01
62641928300,Dr. Ravi Lucca Pimenta,jesuseloah@example.net,(11) 94701-7002,2002-07-07
17396523711,Ana Beatriz Barros,fmacedo@example.org,(11) 92154-5316,1955-10-19
50834623700,Sr. Antony Aragão,cecilia51@example.com,(11) 99735-3126,1987-04-15
67003337411,Olivia Leão,gsiqueira@example.net,(11) 94351-6107,1950-01-15
25693405888,Enzo Correia,da-cunhaclara@example.org,(11) 93546-5321,1976-08-04
98085552177,Benício Castro,luizabrito@example.net,(11) 92206-1444,1992-03-11
55855505866,Aylla Garcia,zoe63@example.net,(11) 99185-3581,1968-07-08
71889114100,Dra. Valentina Cavalcante,ramosisabela@example.net,(11) 97240-5249,1955-06-16
80976830088,Eduarda da Cruz,gcavalcante@example.net,(11) 95086-4774,1993-05-16
90478013000,Isabel Cavalcanti,salesluiz-otavio@example.net,(11) 99991-4256,1984-05-24
91029356000,Mirella Brito,jadearaujo@example.org,(11) 95357-7071,1967-01-10
19958630411,Luiz Henrique Cirino,pedro-henrique99@example.com,(11) 99873-2114,1958-09-20
95828494877,Ana Barbosa,omoura@example.net,(11) 91400-5650,1977-03-12
65789302722,Liz Freitas,apereira@example.org,(11) 92620-5488,1946-05-21
74281354866,Ágatha Pimenta,melina70@example.org,(11) 99753-8437,1995-03-22
29976359000,Dr. Liam Sousa,costelamaria@example.org,(11) 93405-7815,1968-01-15
71280438299,Vitor Casa Grande,qribeiro@example.org,(11) 97402-8135,1956-05-05
61771615377,Breno Araújo,joao-guilhermecirino@example.net,(11) 98057-4323,1954-01-08
53703804655,Ana Cavalcanti,guilhermerocha@example.net,(11) 98339-6401,1979-06-28
30880958544,Isabella Viana,nascimentomaria-flor@example.org,(11) 99285-7379,1983-07-30
91350393377,Dr. Vitor Ferreira,luccafonseca@example.org,(11) 95758-6225,1956-09-26
31106704377,Ana Laura Fernandes,elisa89@example.com,(11) 94414-3962,1999-02-24
92779140099,Eloah Campos,hadassacasa-grande@example.net,(11) 94132-5538,1986-04-24
96780914455,Matteo Ferreira,pedro-henriquebarbosa@example.org,(11) 98505-8390,1995-12-30
25295653688,Camila Pimenta,rezendegabriela@example.com,(11) 96345-3117,1973-07-30
85761037533,Liz Costa,daniela61@example.com,(11) 91963-1244,1972-08-07
