ID_INSTALACAO,CPF_RESPONSAVEL_INTERNO,DATA_RESERVA,HORARIO_INICIO,HORARIO_FIM
2,24883613055,2023-07-03,08:30:00,10:21:00
7,26972264511,2023-01-14,06:30:00,07:40:00
16,38745953900,2023-01-16,07:30:00,09:19:00
11,24149597033,2023-12-08,11:00:00,12:24:00
18,76478325577,2023-06-12,14:30:00,16:25:00
16,58218618966,2023-06-29,13:30:00,15:00:00
6,73501299399,2023-09-14,15:00:00,16:46:00
13,47844411400,2023-03-10,20:30:00,22:00:00
1,63572827155,2023-12-08,18:30:00,20:22:00
20,34841088000,2023-01-31,21:30:00,22:00:00
10,72936585833,2023-10-04,11:30:00,13:11:00
3,23100103244,2023-02-15,14:30:00,16:19:00
1,92809489544,2023-07-13,21:30:00,22:00:00
10,10995055500,2023-07-16,11:30:00,12:46:00
8,42400577366,2023-09-25,13:30:00,14:35:00
10,28020362899,2023-06-19,09:30:00,11:15:00
3,24872590944,2023-01-10,19:30:00,21:24:00
20,66044488433,2023-10-17,11:00:00,12:36:00
20,21215072722,2023-02-09,11:00:00,12:11:00
13,57588271500,2023-12-06,07:00:00,08:37:00
7,81145848900,2023-08-03,14:30:00,16:20:00
2,22026758688,2023-01-10,16:30:00,18:17:00
3,90150096866,2023-02-06,21:00:00,22:00:00
7,92471609799,2023-09-27,21:00:00,22:00:00
1,99871013800,2023-07-19,11:30:00,12:32:00
2,88413216877,2023-11-13,06:30:00,07:33:00
5,76093470511,2023-03-26,20:30:00,22:00:00
7,66079119866,2023-03-26,20:30:00,22:00:00
9,97647868200,2023-04-11,20:00:00,21:24:00
10,23936324844,2023-05-30,15:30:00,17:16:00
13,53580024055,2023-10-14,12:00:00,13:51:00
3,69734939988,2023-01-11,17:00:00,18:08:00
4,79295055022,2023-08-21,17:00:00,18:45:00
2,72438424022,2023-11-22,11:00:00,12:35:00
17,95581786677,2023-11-08,14:30:00,15:59:00
9,99570973188,2023-11-28,09:00:00,10:58:00
16,98309744566,2023-09-02,06:30:00,07:42:00
18,53517801788,2023-06-18,12:30:00,14:10:00
18,58383192088,2023-08-05,16:00:00,17:24:00
18,59059243922,2023-09-17,20:30:00,21:44:00
17,38257825144,2023-12-03,08:00:00,09:42:00
20,19551329688,2023-10-14,09:00:00,10:14:00
11,95644029211,2023-11-09,12:30:00,14:05:00
17,60076336088,2023-04-09,11:00:00,12:01:00
3,91584865933,2023-05-10,08:30:00,09:34:00
10,14938747722,2023-08-13,14:00:00,15:26:00
7,32360477122,2023-01-09,13:00:00,14:52:00
7,50908237400,2023-02-26,07:00:00,08:00:00
16,17613182255,2023-12-28,11:00:00,12:42:00
16,58526671611,2023-03-22,18:30:00,19:47:00
17,19628488177,2023-08-07,17:00:00,18:21:00
4,54989484844,2023-03-17,20:00:00,21:45:00
5,50571106244,2023-08-21,21:00:00,22:00:00
1,18122929611,2023-03-30,21:00:00,22:00:00
12,11695666777,2023-05-25,17:30:00,19:14:00
17,79808461099,2023-08-07,10:30:00,11:32:00
11,31123941600,2023-01-02,10:00:00,11:06:00
9,47594029344,2023-03-18,20:30:00,22:00:00
3,24467524111,2023-08-16,12:30:00,13:49:00
20,32801738177,2023-03-12,10:30:00,12:24:00
4,10077675533,2023-06-22,10:00:00,11:43:00
13,54633649822,2023-08-30,18:30:00,20:12:00
16,82948347422,2023-04-04,18:00:00,19:03:00
1,29712021355,2023-06-29,13:30:00,14:47:00
10,64553176022,2023-10-14,14:00:00,15:49:00
18,62229229533,2023-08-29,13:30:00,14:42:00
9,48217785055,2023-02-11,06:00:00,07:36:00
19,27459139133,2023-08-22,11:30:00,12:31:00
17,82422760133,2023-07-05,19:00:00,20:14:00
13,18191629900,2023-11-19,21:00:00,22:00:00
2,30727818422,2023-09-17,12:00:00,13:04:00
11,98756009111,2023-04-19,18:30:00,19:39:00
1,72998781000,2023-09-02,16:00:00,17:40:00
8,64138694966,2023-06-26,11:00:00,12:29:00
17,58379921388,2023-06-24,19:30:00,20:54:00
15,69979942533,2023-06-29,16:00:00,17:40:00
1,17006199266,2023-04-24,13:00:00,14:15:00
6,22417467700,2023-12-09,16:30:00,17:34:00
10,60692715133,2023-09-20,08:30:00,09:35:00
19,73399802377,2023-06-18,18:30:00,19:31:00
13,96390676877,2023-08-16,12:00:00,13:03:00
7,65383714699,2023-04-08,07:30:00,09:05:00
4,74875487322,2023-07-30,06:30:00,07:50:00
10,31909224700,2023-02-01,20:00:00,21:32:00
5,49774424588,2023-02-02,06:30:00,08:22:00
9,82680077700,2023-11-29,21:30:00,22:00:00
11,89686726011,2023-07-23,10:30:00,12:07:00
20,80506115588,2023-06-03,19:30:00,21:21:00
12,69648697000,2023-02-06,06:00:00,07:00:00
19,64329326611,2023-01-03,20:00:00,21:51:00
4,71253449255,2023-05-31,15:00:00,16:01:00
8,66196200944,2023-12-21,19:00:00,20:57:00
1,31053938622,2023-12-30,10:00:00,11:01:00
6,80495173066,2023-06-10,18:00:00,19:36:00
2,88344735744,2023-04-05,13:00:00,14:12:00
20,10316950955,2023-10-28,12:30:00,13:41:00
13,87842196377,2023-10-06,21:30:00,22:00:00
14,56693421000,2023-04-04,11:30:00,13:01:00
12,76630868800,2023-10-06,21:00:00,22:00:00
17,78050715355,2023-06-13,16:30:00,18:12:00
11,80177973899,2023-03-31,11:30:00,13:23:00
1,91224307411,2023-07-12,07:30:00,09:12:00
2,22813992655,2023-06-11,19:00:00,20:38:00
16,10441940811,2023-06-14,10:00:00,11:14:00
8,22546022255,2023-08-12,11:00:00,12:13:00
19,32937374044,2023-02-03,19:00:00,20:28:00
15,52546297544,2023-05-07,21:00:00,22:00:00
10,60727111700,2023-05-16,09:00:00,10:08:00
14,41201392399,2023-08-17,11:30:00,12:30:00
20,91397602788,2023-09-18,09:00:00,10:00:00
3,24579866300,2023-09-27,06:30:00,07:56:00
1,43801829911,2023-05-24,19:30:00,20:53:00
15,77917135788,2023-04-11,10:00:00,11:20:00
13,95880753277,2023-02-09,12:00:00,13:30:00
5,47779065588,2023-05-18,16:30:00,17:44:00
11,82357704666,2023-10-08,12:30:00,14:06:00
12,70732366800,2023-06-24,11:30:00,13:22:00
19,46320471044,2023-09-26,14:30:00,15:59:00
12,53880978111,2023-08-10,13:00:00,14:59:00
19,50896082100,2023-06-10,19:00:00,20:48:00
14,97012415333,2023-12-14,08:30:00,09:46:00
19,18033354166,2023-12-19,10:30:00,11:49:00
14,58770486511,2023-01-05,20:00:00,21:06:00
5,45525758722,2023-07-15,15:00:00,16:46:00
20,23352158333,2023-08-05,12:30:00,13:58:00
4,10977515466,2023-03-04,18:30:00,19:55:00
6,30111895366,2023-01-12,16:00:00,17:55:00
12,18063509122,2023-12-12,20:30:00,22:00:00
2,31087898488,2023-08-31,07:00:00,08:55:00
1,88574714466,2023-08-25,07:30:00,08:31:00
6,73025492499,2023-04-06,15:00:00,16:24:00
16,35526951844,2023-01-20,19:00:00,20:35:00
5,95052485555,2023-03-10,20:00:00,21:28:00
14,73928227300,2023-02-05,17:30:00,18:57:00
12,10817334466,2023-03-26,17:00:00,18:51:00
6,58293285422,2023-09-06,20:30:00,22:00:00
4,68703707700,2023-12-20,20:30:00,21:50:00
14,38851670777,2023-01-02,08:00:00,09:46:00
15,27402104000,2023-01-16,09:30:00,10:46:00
20,44537724755,2023-06-03,18:30:00,20:27:00
11,78485804400,2023-10-30,09:00:00,10:36:00
11,33281221333,2023-06-12,11:00:00,12:39:00
10,48094591955,2023-08-23,18:00:00,19:58:00
1,33409341500,2023-10-25,18:30:00,19:31:00
16,44092332544,2023-07-30,06:00:00,07:06:00
19,85053968122,2023-06-05,06:30:00,08:04:00
12,37835577399,2023-12-04,12:00:00,13:31:00
13,36394650322,2023-10-18,06:30:00,08:23:00
13,70398821677,2023-05-22,16:30:00,18:25:00
5,21442518277,2023-01-13,15:00:00,16:14:00
17,98860535855,2023-09-05,21:30:00,22:00:00
8,87696639399,2023-10-13,21:30:00,22:00:00
7,65535786566,2023-07-01,06:30:00,08:00:00
20,58588517111,2023-09-25,08:30:00,10:15:00
18,37121551822,2023-11-06,08:30:00,09:33:00
12,87322095255,2023-04-04,21:00:00,22:00:00
10,89781585444,2023-09-09,16:30:00,18:21:00
1,63138907600,2023-08-03,16:30:00,17:50:00
7,89241641122,2023-07-20,20:00:00,21:21:00
12,92440703833,2023-10-12,14:30:00,15:33:00
19,18345380844,2023-08-04,11:00:00,12:50:00
5,54420366411,2023-03-06,17:00:00,18:59:00
14,34647971044,2023-11-21,16:30:00,18:12:00
3,15859796944,2023-05-17,18:30:00,20:06:00
19,48809336600,2023-10-07,11:30:00,13:19:00
15,47137616800,2023-11-12,14:30:00,15:46:00
15,88076911088,2023-02-03,16:30:00,17:59:00
18,97599891744,2023-11-13,14:00:00,15:21:00
16,77068145644,2023-06-09,15:30:00,17:30:00
14,35023006077,2023-05-05,20:30:00,22:00:00
9,46934303900,2023-01-07,10:00:00,11:51:00
13,35833717711,2023-07-10,19:30:00,20:45:00
5,74222554200,2023-07-01,16:30:00,18:27:00
5,79119516244,2023-02-22,18:00:00,19:19:00
3,96121834900,2023-04-14,17:00:00,19:00:00
5,49452565944,2023-05-30,09:30:00,11:13:00
7,69694353344,2023-05-27,07:30:00,08:56:00
6,59664824622,2023-07-26,08:00:00,09:18:00
16,74854461500,2023-10-26,11:30:00,12:52:00
7,80329870455,2023-06-09,07:00:00,08:03:00
12,70165520711,2023-06-08,21:30:00,22:00:00
3,56447361133,2023-11-25,18:00:00,19:38:00
9,81839941055,2023-09-17,07:30:00,09:09:00
16,14084310099,2023-01-09,19:30:00,21:22:00
12,62970103400,2023-01-01,08:30:00,10:12:00
14,95121718644,2023-09-08,11:00:00,12:11:00
5,30024085300,2023-10-15,12:00:00,13:18:00
12,44753799899,2023-01-22,21:30:00,22:00:00
4,66288319300,2023-11-03,08:00:00,09:06:00
4,35641928599,2023-07-21,16:30:00,17:34:00
2,18305126922,2023-03-11,16:30:00,17:30:00
11,29520135866,2023-10-28,15:00:00,16:55:00
9,19695412100,2023-11-23,06:30:00,08:14:00
9,53104844000,2023-08-13,12:30:00,13:40:00
